Modelo,Amostra,Instrução,Contexto,Referência,Gerado,PPL,BLEU,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1,Faithfulness,Answer Relevance,Plan Adherence
BART,S11,"Qual é o objetivo principal da Secretaria de Ciência, Tecnologia, Inovação e Produtos Estratégicos em Saúde (SCTIE) e qual é o nome do seu diretor desde 18/06/2020?","12/04/2021 LUIZ OTAVIO FRANCO DUARTE I 27/05/2020 A 11/04/2021 SECRETARIA DE CIÊNCIA, TECNOLOGIA, INOVAÇÃO E INSUMOS ESTRATÉGICOS EM SAÚDE (SCTIE) HELIO ANGOTTI NETO I DESDE 18/06/2020 SECRETARIA DE VIGILÂNCIA EM SAÚDE (SVS) ARNALDO CORREIA DE MEDEIROS I DESDE 05/06/2020 SECRETARIA ESPECIAL DE SAÚDE INDÍGENA (SESAI) ROBSON SANTOS DA SILVA I DESDE 12/02/2020 SECRETARIA DE GESTÃO DO TRABALHO E DA EDUCAÇÃO NA SAÚDE (SGTES) MAYRA ISABEL CORREIA PINHEIRO I DESDE 31/05/2019 SECRETARIA EXTRAORDINÁRIA DE ENFRENTAMENTO À COVID-19 (SECOVID) ROSANA LEITE DE MELO I DESDE 17/06/2021DIRIGENTES DO MINISTÉRIO DA SAÚDE EM 2021 VISÃO GERAL ORGANIZACIONAL E GOVERNANÇA019 Políticas e programas de Atenção Primária, Especializada, Vigilância em Saúde e Saúde IndígenaDesenvolvimento científico, tecnológico e","O objetivo principal da SCTIE é desenvolver políticas e programas de atenção primária, especializada, vigilância em saúde e saúde indígena, além de promover o desenvolvimento científico, tecnológico e inovador em saúde. O diretor da SCTIE desde 18/06/2020 é Helio Angotti Neto.","O objetivo principal da Secretaria de Ciência, Tecnologia, Inovação e Produtos Estratégicos em Saúde (SCTIE) é desenvolvimento científico, tecnológico e inovadores em saúde. O nome do seu diretor desde 18/06/2020 é LUIZ OTAVIO FRANCO DUARTE.",1.85,22.36,59.57,39.13,53.19,31.58,76.69,50.0
BART,S12,Qual é o principal objetivo da SAGE?,A Sala de Apoio à Gestão Estratégica (SAGE) disponibiliza informações em saúde para apoiar a tomada de decisão.,O principal objetivo da SAGE é disponibilizar dados e informações estratégicas de saúde para subsidiar e apoiar os gestores na tomada de decisão.,O principal objetivo da SAGE é disponibilizar informações para apoiar a tomada de decisão.,2.45,33.24,68.29,46.15,68.29,53.33,52.5,50.0
BART,S13,Qual é a função principal do Sistema de Gestão de Procura (SGP) no contexto do Ministério da Saúde?,"O Sistema de Gestão de Procura (SGP) é uma ferramenta gráfica que representa os macroprocessos desenvolvidos pelo órgão e pode ser comunicada como o conjunto de ações realizadas em uma sequência definida ponta a ponta, a fim de gerar resultados para as partes interessadas. No caso do Ministério da Saúde, por ser o órgão responde- sável por operar as políticas de saúde por meio da gestão nacional do SUS, os serviços prestados à sociedade são resultados dos macroprocessos.","A função principal do Sistema de Gestão de Procura (SGP) é representar os macroprocessos desenvolvidos pelo Ministério da Saúde e comunicar como o conjunto de ações realizadas em uma sequência definida ponta a ponta, resultando em serviços prestados à sociedade como parte das políticas de saúde.","A função principal do Sistema de Gestão de Procura (SGP) no contexto do Ministério da Saúde é representar os macroprocessos desenvolvidos pelo órgão, com comunicada como o conjunto de ações realizadas em uma sequência definida ponta a ponta, a gerar resultados para as partes interessadas.",1.74,59.51,73.08,64.71,63.46,61.11,55.36,50.0
BART,S14,Quais são os principais objetivos da Cadeia de Valor do Ministério da Saúde?,"A Cadeia de Valor do Ministério da Saúde foi de - finida com a participação de técnicos e gestores do órgão e é composta por 6 macroprocessos fi - nalísticos, 7 de governança e outros 6 processos de suporte. É possível observar que as principais entregas deste órgão estão atreladas às políticas e aos programas de saúde, ao incentivo de novas tecnologias, ao desenvolvimento do trabalho e à oferta de insumos estratégicos para a saúde. Quando identificada a necessidade, a Cadeia de Valor do ministério poderá ser revisada e aperfeiçoada, tendo em vista o aprimoramento das re - lações dos processos de trabalho, a dinâmica de atuação entre as unidades, bem como o atendimento de novas necessidades de ações de saúde.","Os principais objetivos da Cadeia de Valor do Ministério da Saúde incluem a atualização e aperfeiçoamento da cadeia de valor em resposta às necessidades identificadas, o aprimoramento das relações e dinâmica entre as unidades do ministério, o desenvolvimento do trabalho e a oferta de insumos estratégicos para a saúde, além da implementação de políticas e programas de saúde e do incentivo às novas tecnologias.",Os principais objetivos da Cadeia de Valor do Ministério da Saúde incluem:,2.6,1.33,30.77,29.21,30.77,9.43,77.38,50.0
BART,S15,Como a elaboração do Mapa Estratégico do MS foi conduzida e quais foram os principais elementos considerados?,"A elaboração do Mapa Estratégico do MS foi rea - lizada a partir de estudo documental sobre o órgão, análise dos elementos corporativos, de - bates técnicos e visão política de servidores e lideranças envolvidas no projeto. Assim, foi es - truturado de forma a considerar o conhecimento documental existente na instituição sobre a le - gislação vigente aplicada,","A elaboração do Mapa Estratégico do MS foi conduzida por meio de um estudo documental sobre o órgão, análise dos elementos corporativos, de bates técnicos e visão política de servidores e lideranças envolvidas no projeto. O processo foi estruturado para incorporar o conhecimento documental existente na instituição sobre a legislação vigente aplicada.","A elaboração do Mapa Estratégico do MS foi conduzida a partir de o estudo documental sobre o órgão, análise dos elementos corporativos, de - bates técnicos e visão política de servidores e lideranças envolvidas no projeto. O principais elementos considerados foi truturado de forma a considerar o conhecimento documental existente na instituição sobre a le - gislações vigente aplicada, enquanto a",1.45,59.52,82.44,72.87,80.92,85.71,48.13,50.0
BART,S16,Qual é o objetivo principal do Plano Estratégico do Ministério da Saúde (2020/2023) e como ele visa promover a saúde e o bem-estar de todos?,"O Plano Estratégico do Ministério da Saúde (2020/2023) tem como objetivo principal promover a saúde e o bem-estar de todos, por meio da formulação e implementação de políticas públicas de saúde, pautando-se pela universalidade, integralidade e equidade. O Sistema de Saúde Público é efetivo e reconhecido por todos. A visão de futuro é de valorização e inovação.","O objetivo principal do Plano Estratégico do Ministério da Saúde (2020/2023) é promover a saúde e o bem-estar de todos, através da formulação e implementação de políticas públicas de saúde que enfatizam universalidade, integralidade e equidade. O plano visa garantir que o Sistema de Saúde Público seja eficaz e reconhecido por todos, com uma visão de futuro centrada na valorização e inovação.","O objetivo principal do Plano Estratégico do Ministério da Saúde (2020/2023) é promover a saúde e o bem-estar de todos, por meio da formulação e implementação de políticas públicas de saúd, pautando-se pela universalidade, integralidade e equidade.",1.76,43.13,68.25,62.9,66.67,67.74,62.2,50.0
BART,S17,Quais são os objetivos principais do Plano Nacional de Saúde (PNS) do Brasil?,"O Plano Nacional de Saúde (PNS) do Brasil tem como objetivos garantir a saúde universal e integral, ampliar o acesso a serviços de saúde de qualidade e em tempo adequado, reduzir e controlar doenças e agravos, intensificar o acesso a vacinas, medicamentos e outros insumos estratégicos, fortalecer a imagem do Sistema Único de Saúde (SUS), ampliar a oferta de serviços de atenção primária de forma integrada, intensificar as ações de vigilância em saúde, aperfeiçoar o subsistema de atenção integral à saúde dos povos indígenas, promover a excelência na promoção, proteção e recuperação em saúde, ampliar o conhecimento científico e a oferta de soluções tecnológicas em saúde e modernizar os serviços de saúde.","Os objetivos principais do Plano Nacional de Saúde (PNS) do Brasil incluem garantir a saúde universal e integral, ampliar o acesso a serviços de saúde de qualidade e em tempo adequado, reduzir e controlar doenças e agravos, intensificar o acesso a vacinas, medicamentos e outros insumos estratégicos, fortalecer a imagem do Sistema Único de Saúde (SUS), ampliar a oferta de serviços de atenção primária de forma integrada, intensificar as ações de vigilância em saúde, aperfeiçoar o subsistema de atenção integral à saúde dos povos indígenas, promover a excelência na promoção, proteção e recuperação em saúde, ampliar o conhecimento científico e a oferta de soluções tecnológicas em saúde e modernizar os serviços de saúde.","Os objetivos principais do Plano Nacional de Saúde (PNS) do Brasil incluem ampliar o acesso a serviços de saúde de qualidade e em tempo adequado, reduzir e controlar doenças e agravos, intensificar o aespecto a vacinas, medicamentos e outros insumos estratégicos, fortalecer a imagem do Sistema Único de Saubde (SUS), ampliar a oferta de servičos de atenção primária de forma integrada, intensifar as ações de vigilância em saude, aperfeiçoar o subsistema de atennção integral à saúda dos povos indígenas, promover a excelê",1.01,53.72,75.74,69.53,75.74,74.07,46.99,50.0
BART,S18,Qual é a lista completa das Políticas Públicas sob responsabilidade do Ministério da Saúde conforme a Portaria de Consolidação n.o 02/2017?,"acordo com a Portaria de Consolidação do Ministério da Saúde n.o 02/2017, estão listadas a seguir as 49 Políticas Públicas sob responsabilidade deste órgão: 1.5 POLÍTICAS ESTRATÉGICAS POLÍTICAS GERAIS DE PROMOÇÃO, PROTEÇÃO E RECUPERAÇÃO DA SAÚDE 1Política Nacional de Promoção da Saúde (PNPS) 2Política Nacional de Vigilância em Saúde 3Política Nacional de Sangue, Componentes e Hemoderivados 4Política de Saúde Mental 5Política Nacional de Alimentação e Nutrição (PNAN) 6Política Nacional de Plantas Medicinais e Fitoterápicos 7Política Nacional de Educação Popular em Saúde (PNEPS-SUS) POLÍTICAS DE CONTROLE DE DOENÇAS E ENFRENTAMENTO DE AGRAVOS DE SAÚDE 8Diretrizes para Vigilância, Atenção e Eliminação da Hanseníase como Problema de Saúde Pública 9Política Nacional de Redução da Morbimortalidade por Acidentes e Violência","A lista completa das Políticas Públicas sob responsabilidade do Ministério da Saúde conforme a Portaria de Consolidação n.o 02/2017 inclui: 1.5 POLÍTICAS ESTRATÉGICAS: POLÍTICAS GERAIS DE PROMOÇÃO, PROTEÇÃO E RECUPERAÇÃO DA SAÚDE, que abrangem a Política Nacional de Promoção da Saúde (PNPS), Política Nacional de Vigilância em Saúde, Política Nacional de Sangue, Componentes e Hemoderivados, Política de Saúde Mental, Política Nacional de Alimentação e Nutrição (PNAN), Política Nacional de Plantas Medicinais e Fitoterápicos, e Política Nacional de Educação Popular em Saúde (PNEPS-SUS); e POLÍTICAS DE CONTROLE DE DOENÇAS E ENFRENTAMENTO DE AGRAVOS DE SAÚDE, que inclui as Diretrizes para Vigilância, Atenção e Eliminação da Hanseníase como Problema de Saúde Pública e a Política Nacional de Redução da Morbimortalidade por Acidentes e Violência.","A lista completa das Políticas Públicas sob responsabilidade do Ministério da Saúde conforme a Portaria de Consolidação n.o 02/2017 incluem a PNEPS-SUS, a Política Nacional de Vigilância, atenção e Eliminação da Hanseníase como Problema.",1.31,4.65,42.99,39.62,41.12,30.88,69.75,50.0
BART,S19,Quais são as diretrizes nacionais para a prevenção do suicídio?,Morbimortalidade por Acidentes e Violência 10 Diretrizes Nacionais para Prevenção do Suicídio,As diretrizes nacionais para a prevenção do suicídio incluem estratégias e ações específicas destinadas a reduzir a incidência de suicídio e apoiar a saúde mental dos indivíduos.,As diretrizes nacionais para a prevenção do suicídio são as 10 Diretrizes Nacionais:,5.56,18.92,38.46,36.0,38.46,54.55,77.38,50.0
BART,S20,Como os Planos Plurianuais (PPA) e o Plano Nacional de Saúde (PNS) interagem na elaboração e implementação das políticas de saúde no Brasil?,"Conforme previsão constitucional, o planejamento das políticas da administração pública federal para a área da saúde deve ser expresso no Plano Nacio - nal de Saúde (PNS) e no Plano Plurianual (PPA). Am - bos os planos são convergentes, orientam as esco - lhas orçamentárias e a gestão das políticas públicas na área da saúde. O PPA orienta a elaboração da Lei de Diretrizes Orça - mentárias (LDO) e da Lei Orçamentária Anual (LOA), e o PNS, orienta a implementação de iniciativas de ges - tão no Sistema Único de Saúde (SUS), explicitando os compromissos setoriais de governo. Com vigência para o período de 2020 a 2023, esses dois instrumentos de planejamento foram alinha - dos ainda na fase de sua elaboração, em 2019 e, portanto,","Os Planos Plurianuais (PPA) e o Plano Nacional de Saúde (PNS) interagem na elaboração e implementação das políticas de saúde no Brasil de forma convergente. O PPA serve como base para a elaboração da Lei de Diretrizes Orçamentárias (LDO) e da Lei Orçamentária Anual (LOA), estabelecendo as diretrizes orçamentárias e a gestão das políticas públicas. Já o PNS orienta a implementação de iniciativas no Sistema Único de Saúde (SUS), especificando os compromissos setoriais de governo.","O Plano Nacional de Saúde (PPA) é convergente, orientar as esco - lhas orçamentárias e a gestão das políticas de saúde no Brasil.",1.63,5.42,40.34,32.48,35.29,16.98,31.76,50.0
